sub_object_code,sub_object,spend_class,basis,needs_review,classified_at
584030,Capital Renewal Projects,purchase,code_range,false,2026-07-28
412210,Hotel Room Tax,obligation,label_rule,false,2026-07-28
CASH_W_FISC_AGENT,Cash with Fiscal Agent,unclear,unassigned,true,2026-07-28
230590,230490CONMedicareTaxCsfEmp200K,obligation,code_range,false,2026-07-28
532410,Telephone Chrgs-Non Work Order,unclear,unassigned,true,2026-07-28
513160,Calpers Unfunded Liability Pmt,ledger,label_rule,false,2026-07-28
470212,Frnge-PropCRetHlthCare-CtyShre,ledger,code_range,false,2026-07-28
470202,Prop C Ret Health Care Pretax,ledger,code_range,false,2026-07-28
468111,Sale Of Water-SF Consumers,purchase,label_rule,false,2026-07-28
513090,Retirement Non-City (Pers),obligation,code_range,false,2026-07-28
535810,Advertising,unclear,unassigned,true,2026-07-28
465911,DpSnfDstnctPartSkilldNursngFac,ledger,code_range,false,2026-07-28
528000,Maint Svcs-Bldgs & Impvts-Bdgt,purchase,label_rule,false,2026-07-28
410120,Prop Tax Curr Yr-Unsecured,obligation,label_rule,false,2026-07-28
536510,Homeless Hsng And Supportv Svc,unclear,unassigned,true,2026-07-28
560000,Equipment Purchase-Budget,purchase,label_rule,false,2026-07-28
555110,Ers Retirement Allowances,unclear,unassigned,true,2026-07-28
527830,Stipends,purchase,code_range,false,2026-07-28
584010,Intangible Asset Depreciable,purchase,code_range,false,2026-07-28
545110,Fire Fighting Rescue Supplies,purchase,label_rule,false,2026-07-28
560410,"Shop, Bldg & Field Maint Eqpmt",purchase,label_rule,false,2026-07-28
536830,OCII Payments To City Adm,unclear,unassigned,true,2026-07-28
539220,Grants & Forgivable Loans,ledger,label_rule,false,2026-07-28
412930,Access Line Tax - Current,obligation,label_rule,false,2026-07-28
536690,Right to Recover Assistance,unclear,unassigned,true,2026-07-28
545210,Ordnance,purchase,code_range,false,2026-07-28
465990,Prior Year Settlement-Medicare,ledger,code_range,false,2026-07-28
527090,Spcl Inspection & Testing Svcs,purchase,code_range,false,2026-07-28
552420,Arbitrage Rebate To IRS,unclear,unassigned,true,2026-07-28
591160,OTO To 2S/NDF-NeghborhoodDevFd,obligation,code_range,false,2026-07-28
532110,Elec Heat Water,purchase,label_rule,false,2026-07-28
538000,CBO Services - Budget,purchase,label_rule,false,2026-07-28
435218,St. Mary's Garage,ledger,code_range,false,2026-07-28
521030,Air Travel - Employees,purchase,code_range,false,2026-07-28
536610,Spcl Circumstances For Adults,unclear,unassigned,true,2026-07-28
537360,Fcs Childcare Aid Payments,unclear,unassigned,true,2026-07-28
537110,CalWorks Aid Payments,unclear,unassigned,true,2026-07-28
411310,Business Registration Tax,obligation,label_rule,false,2026-07-28
551200,Ocip Related Insurance Costs,unclear,unassigned,true,2026-07-28
526810,Witnesses,purchase,code_range,false,2026-07-28
527810,Physicians,purchase,code_range,false,2026-07-28
519130,Life Insurance,obligation,code_range,false,2026-07-28
466009,Global Payment Program (GPP),ledger,code_range,false,2026-07-28
531310,Office Machine Rental,purchase,label_rule,false,2026-07-28
412320,Telephone Users Tax Lnd&Mobile,obligation,label_rule,false,2026-07-28
560970,Workstations -Special Purchase,purchase,code_range,false,2026-07-28
527410,Realty Services,purchase,label_rule,false,2026-07-28
563201,BldgsStructures&ImprovementExp,purchase,code_range,false,2026-07-28
574130,Bond Interest-Exp-Arbitrage,obligation,label_rule,false,2026-07-28
462699,Other Recreational Svc Chgs,ledger,code_range,false,2026-07-28
425120,Traffic Fines - Parking,ledger,code_range,false,2026-07-28
UNEARN_GRANT_REV,Unearned Grant/Subv Revenue,ledger,label_rule,false,2026-07-28
542310,Lighting,purchase,code_range,false,2026-07-28
525010,Promotional & Entertainmnt Exp,purchase,code_range,false,2026-07-28
ADVANCES,Advances,unclear,unassigned,true,2026-07-28
465902,Medi-Cal Net Revenue,ledger,code_range,false,2026-07-28
549745,LIB Starter Kits-LIB USE ONLY,purchase,code_range,false,2026-07-28
553140,Judgements - Penalty,unclear,unassigned,true,2026-07-28
515130,Cerbt Ret Hlth Trust Pmt,obligation,code_range,false,2026-07-28
573110,Bond Issuance Cost-Unamortized,obligation,label_rule,false,2026-07-28
531110,Data Processing Equip Rental,purchase,label_rule,false,2026-07-28
573610,COI - Cert Of Participation,obligation,code_range,false,2026-07-28
527310,Legal Services,purchase,label_rule,false,2026-07-28
469999,Other Operating Revenue,ledger,code_range,false,2026-07-28
533220,Power-Scheduling Coordinator,unclear,unassigned,true,2026-07-28
232890,"232880CONFederalIncomeTax,RetR",obligation,code_range,false,2026-07-28
560220,Rail,purchase,code_range,false,2026-07-28
549610,Recreation & Athletic Supplies,purchase,label_rule,false,2026-07-28
460188,City Planning Applicatn Refund,ledger,label_rule,false,2026-07-28
460645,Strong Mo Pro Fe,ledger,code_range,false,2026-07-28
543210,Rail Vehicle Supplies,purchase,label_rule,false,2026-07-28
465995,Prior Year Settlement-Medi-Cal,ledger,code_range,false,2026-07-28
560110,Artwork,purchase,code_range,false,2026-07-28
527100,Payments To Poll Workers,purchase,code_range,false,2026-07-28
479701,Custom Work,ledger,code_range,false,2026-07-28
560910,Water Sewage Treatment Eqpmnt,purchase,label_rule,false,2026-07-28
537410,Adoption Aid Payments,unclear,unassigned,true,2026-07-28
430170,Interest Earned-Tax Refund,ledger,label_rule,false,2026-07-28
232740,"232660CONMedicareCityShare,Cou",obligation,code_range,false,2026-07-28
230580,230490CONMedicareTaxTaxUnit5,obligation,code_range,false,2026-07-28
410920,Prop Tax Ab 1290 Rda Passthrgh,obligation,label_rule,false,2026-07-28
444931,Fed Grants Pass-Thru State-Oth,obligation,label_rule,false,2026-07-28
435225,Prking Fees-VarRec-PrkFacilt,ledger,code_range,false,2026-07-28
230760,230750CONCharity-Annual-JointC,obligation,code_range,false,2026-07-28
549500,Office Supply-Citywide Contrac,purchase,label_rule,false,2026-07-28
529310,Office Equip Maint,purchase,label_rule,false,2026-07-28
526410,Dependencies And Conservators,purchase,code_range,false,2026-07-28
410310,Supp Asst SB813-Cy Secured,ledger,code_range,false,2026-07-28
539610,Seismic Safety Loans,ledger,label_rule,false,2026-07-28
410410,Supp Asst SB813-Py Secured,ledger,code_range,false,2026-07-28
536110,Fcs Special Services,purchase,label_rule,false,2026-07-28
542410,Lumber,purchase,code_range,false,2026-07-28
535930,Bank Service Fee,purchase,label_rule,false,2026-07-28
556210,Medical-Prescription Drug Plan,unclear,unassigned,true,2026-07-28
536620,Aps-Basic Services,purchase,label_rule,false,2026-07-28
538200,Rebate Prog-Water Conservation,purchase,label_rule,false,2026-07-28
410510,Proprty Tx Redevelpmnt Incrmnt,ledger,code_range,false,2026-07-28
519110,Flexible Benefit Package,obligation,code_range,false,2026-07-28
460189,Building Permit Alterations,ledger,code_range,false,2026-07-28
230660,230490CONDisabilityInsurTaxU5,obligation,code_range,false,2026-07-28
536150,Foster Care Transportation,unclear,unassigned,true,2026-07-28
